Name,Code
BACHELOR OF SCIENCE IN PSYCHOLOGY,BS-PSY
BACHELOR OF ARTS IN ENGLISH,BA-ENG
BACHELOR OF ARTS IN FILIPINO,BA-FIL
BACHELOR OF ARTS IN HISTORY,BA-HIS
BACHELOR OF ARTS IN POLITICAL SCIENCE,BA-POLSCI
BACHELOR OF SCIENCE IN CIVIL ENGINEERING,BS-CE
BACHELOR OF SCIENCE IN CERAMICS ENGINEERING,BS-CERENG
BACHELOR OF SCIENCE IN CHEMICAL ENGINEERING,BS-CHEMENG
BACHELOR OF SCIENCE IN COMPUTER ENGINEERING,BS-COMPE
BACHELOR OF SCIENCE IN ELECTRONICS & COMMUNICATIONS ENGINEERING,BS-ECE
BACHELOR OF SCIENCE IN ELECTRICAL ENGINEERING,BS-EE
BACHELOR OF SCIENCE IN MINING ENG'G.,BS-MINE
BACHELOR OF SCIENCE IN ENVIRONMENTAL ENGINEERING TECHNOLOGY,BS-ENVENTECH
BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING,BS-ME
BACHELOR OF SCIENCE METALLURGICAL ENGINEERING,BS-METENG
BACHELOR OF SCIENCE IN BIOLOGY (BOTANY),BS-BIOBOT
BACHELOR OF SCIENCE IN CHEMISTRY,BS-CHEM
BACHELOR OF SCIENCE IN MATHEMATICS,BS-MATH
BACHELOR OF SCIENCE IN PHYSICS,BS-PHYS
BACHELOR OF SCIENCE IN BIOLOGY (ZOOLOGY),BS-BIOZOOL
BACHELOR OF SCIENCE IN BIOLOGY (MARINE),BS-BIOMAR
BACHELOR OF SCIENCE IN BIOLOGY (GENERAL),BS-BIOGEN
BACHELOR OF SCIENCE IN STATISTICS,BS-STAT
BACHELOR OF SECONDARY EDUCATION (BIOLOGY),BSE-BIO
BACHELOR OF SCIENCE IN INDUSTRIAL EDUCATION (DRAFTING),BS-INDUSTED-DRAFT
BACHELOR OF SECONDARY EDUCATION (CHEMISTRY),BSE-CHEM
BACHELOR OF SECONDARY EDUCATION (PHYSICS),BSE-PHYS
BACHELOR OF SECONDARY EDUCATION (MATHEMATICS),BSE-MATH
BACHELOR OF SECONDARY EDUCATION (MAPEH),BSE-MAPEH
BACHELOR OF SECONDARY EDUCATION (TLE),BSE-TLE
BACHELOR OF SECONDARY EDUCATION (GENERAL SCIENCE),BSE-GENSCI
BACHELOR OF ELEMENTARY EDUCATION (ENGLISH),BEED-ENG
BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND HEALTH),BEED-SCIHEALTH
BACHELOR OF SCIENCE IN TECHNOLOGY TEACHER EDUCATION (INDUSTRIAL TECH),BSTTE-INDTECH
BACHELOR OF SCIENCE IN TECHNOLOGY TEACHER EDUCATION (DRAFTING TECH),BSTTE-DRAFTTECH
BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (BUSINESS ECONOMICS),BSBA-BUSECON
BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (ECONOMICS),BSBA-ECON
BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION (ENTREPRENEURIAL MARKETING),BSBA-ENTMARK
BACHELOR OF SCIENCE IN HOTEL AND RESTAURANT MANAGEMENT,BSHRM
BACHELOR OF SCIENCE IN ACCOUNTANCY,BS-ACCT
BACHELOR OF SCIENCE IN INFORMATION SYSTEMS,BS-IS
BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,BS-IT
BACHELOR OF SCIENCE IN COMPUTER SCIENCE,BS-CS
BACHELOR OF SCIENCE IN ELECTRONICS AND COMPUTER TECHNOLOGY (EMBEDDED SYSTEMS),BSECT-EMBSYS
BACHELOR OF SCIENCE IN ELECTRONICS AND COMPUTER TECHNOLOGY (COMMUNICATIONS SYSTEM),BSECT-COMMSYS
BACHELOR OF SCIENCE IN INDUSTRIAL AUTOMATION & MECHATRONICS,BS-IAM
BACHELOR OF SCIENCE IN ENGINEERING TECHNOLOGY MANAGEMENT,BS-ETM
BACHELOR OF SCIENCE IN NURSING,BS-NURS
